name,artists,year,danceability,energy,valence,popularity,tempo
"Take The ""A"" Train",['Maynard Ferguson'],1963,0.468,0.7559999999999999,0.718,16,124.191
You And I,['Ingrid Michaelson'],2008,0.698,0.285,0.53,65,135.027
"Così fan tutte, K. 588: Overture - Remastered","['Wolfgang Amadeus Mozart', 'Bruno Walter', 'New York Philharmonic']",1948,0.374,0.155,0.425,0,72.44
Easy - Single Version,['Commodores'],2003,0.581,0.529,0.328,37,132.336
Belong to You (feat. 6LACK),"['Sabrina Claudio', '6LACK']",2017,0.605,0.5529999999999999,0.62,68,152.076
Get In Where You Fit In,['Too $hort'],1993,0.813,0.544,0.537,32,168.094
Lament,"['Hazel Scott', 'Charles Mingus', 'Max Roach']",1955,0.578,0.0129,0.0716,10,60.794
Language,"['Paperboy Fabe', 'Brent Faiyaz']",2017,0.62,0.721,0.77,58,169.904
La divina garza,['Banda Machos'],1992,0.7240000000000001,0.882,0.961,38,144.458
Velha Infância - 2004 Digital Remaster,['Tribalistas'],2002,0.442,0.616,0.565,66,113.02
Far Behind,['Candlebox'],2013,0.552,0.645,0.588,52,89.518
Drop The World,"['Lil Wayne', 'Eminem']",2009,0.6629999999999999,0.91,0.342,46,144.993
"Toccata & Fugue in D Minor, BWV 565: Fugue","['Johann Sebastian Bach', 'E. Power Biggs']",1961,0.166,0.191,0.15,9,109.404
Danza Kuduro,"['Don Omar', 'Lucenzo']",2011,0.701,0.8959999999999999,0.8959999999999999,60,130.067
Memory - Radio Edit,"['Andrew Lloyd Webber', '""Cats"" 1981 Original London Cast', 'Elaine Paige']",1981,0.277,0.228,0.1,37,62.511
I Know You Want Me (Calle Ocho),['Pitbull'],2009,0.8170000000000001,0.733,0.833,65,127.056
Ask Me Now - Alternate Take / Remastered 1998,['Thelonious Monk'],1952,0.588,0.283,0.132,10,120.188
Yeh Haseen Vadiyan Yeh Khula Aasman,"['A.R. Rahman', 'S. P. Balasubrahmanyam', 'K. S. Chithra']",1994,0.64,0.295,0.107,57,121.903
Jo Karke Gaye Barbad Hamen,['Lata Mangeshkar'],1949,0.563,0.376,0.596,0,114.342
Please Forgive Me,['David Gray'],1998,0.6659999999999999,0.5660000000000001,0.308,56,137.979
The Enchanted Reef,"['Martin Denny', 'Si Zentner']",1962,0.529,0.18,0.257,13,109.658
Koklasam Saçlarını Ta Fecre Kadar,['Münir Nurettin Selçuk'],1955,0.421,0.321,0.228,6,63.025
Fuck Tha Police,['N.W.A.'],1988,0.8590000000000001,0.75,0.857,70,98.691
Wrapped Around,['Brad Paisley'],2001,0.616,0.758,0.447,43,141.495
No Podras Escapar De Mi,['Willie Gonzalez'],2006,0.599,0.653,0.964,57,163.546
Como Olvidar - Merengue Versión,"['Olga Tañón', 'Ronnie Torres']",2006,0.74,0.894,0.6,53,130.01
"Symphony No. 4 in E-Flat Major, WAB 104 ""Romantic"": IV. Finale. Bewegt, doch nicht zu schnell","['Anton Bruckner', 'Bruno Walter', 'Columbia Symphony Orchestra']",1946,0.105,0.0663,0.0392,0,75.893
"Echoes of Harlem, ""Cootie's Concerto"": Echoes of Harlem (Cootie's Concerto)",['Duke Ellington'],1938,0.659,0.0935,0.381,12,100.141
Sloop John B - Remastered,['The Beach Boys'],1966,0.619,0.581,0.936,27,125.917
Un Sueño,['Los Angeles De Charly'],2002,0.66,0.6659999999999999,0.737,69,149.445
The Friends,['Nicholas Hooper'],2009,0.209,0.0652,0.0394,49,74.078
Hurt Me - Radio Edit,['Eden James'],2008,0.35,0.942,0.462,45,155.146
Blues Music,['G. Love & Special Sauce'],1994,0.7829999999999999,0.384,0.7,46,86.663
Where Is My Mind?,['Trampled by Turtles'],2011,0.523,0.482,0.283,53,79.581
"Chopin: 24 Preludes, Op. 28: No. 6 in B Minor","['Frédéric Chopin', 'Alfred Cortot']",1934,0.486,0.00672,0.0789,3,54.332
Willows,['Cannonball Adderley'],1955,0.574,0.496,0.574,9,82.282
En aften med dig,['Raquel Rastenni'],1943,0.26,0.131,0.22,0,93.928
Spit These Bars,"['Drag-On', 'Kasseem Dean']",2000,0.71,0.856,0.81,34,120.263
The Garden's Tale,['Volbeat'],2007,0.398,0.974,0.369,53,113.461
Skateboard P,['MadeinTYO'],2016,0.8420000000000001,0.498,0.32,53,150.933
"Come Ye Sinners, Poor and Needy","['Fernando Ortega', 'Amy Grant']",2002,0.5379999999999999,0.32,0.295,38,79.071
